,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
982,N Vare,1,8,1,0,1,0.1,1.0
983,Khadija Tul Kubra,29,581,57,7,42,137.3,825.0
984,AG Rao,3,45,4,0,3,8.1,49.0
985,KA Green,3,61,6,0,3,8.2,50.0
986,V Hamunyela,4,56,6,0,2,10.0,60.0
987,V Frank,7,117,11,2,1,21.5,131.0
988,K Arua,14,208,16,0,19,56.1,337.0
989,D Foerster,3,39,4,1,3,4.3,27.0
990,I Toua,1,4,0,0,1,0.2,2.0
991,Shaila Sharmin,14,162,10,0,8,36.3,219.0
992,J Post,1,11,1,0,0,0.2,2.0
993,Nayeem Hasan,1,104,13,1,4,5.0,30.0
994,Mominul Haque,26,418,27,9,9,95.4,574.0
995,Zahir Khan,3,190,20,1,15,34.4,208.0
996,N Madziva,27,874,93,19,35,139.0,834.0
997,Fareed Ahmad,16,415,44,11,28,64.5,389.0
998,CT Mutombodzi,16,425,26,15,15,72.4,436.0
999,Aminul Islam Biplob,4,97,5,4,7,10.5,65.0
1000,Fazal Niazai,1,12,2,0,0,0.2,2.0
1001,Afif Hossain,4,51,1,5,4,5.5,35.0
1002,Naveen-ul-Haq,9,296,28,4,17,50.5,305.0
1003,Seungmin Song,3,32,1,0,6,11.0,66.0
1004,Seri Chang,2,38,2,0,2,6.1,37.0
1005,Jiyeon Park,2,32,2,0,3,5.2,32.0
1006,Mina Baek,2,42,3,0,3,5.1,31.0
1007,Haliam Kwon,2,35,3,0,0,5.0,30.0
1008,Hyejin Park,2,12,1,0,2,2.4,16.0
1009,N Tokizawa,6,69,7,0,6,17.5,107.0
1010,M Kanno,6,74,8,0,4,15.3,93.0
1011,R Kanai,3,30,1,0,2,7.1,43.0
1012,R Endo,5,55,7,0,5,9.5,59.0
1013,S Miyaji,9,141,12,0,5,29.4,178.0
1014,Kiyo Fujikawa,1,6,0,0,0,1.0,6.0
1015,M Yanagida,8,94,6,0,12,27.4,166.0
1016,Wang Meng,9,91,8,0,3,26.0,156.0
1017,Wu Juan,9,124,5,0,9,28.4,172.0
1018,L Jie,6,84,3,0,6,20.3,123.0
1019,LI Haoye,3,46,3,0,3,10.1,61.0
1020,Han Lili,5,57,3,0,7,13.4,82.0
1021,M Wai Siu,3,35,4,0,3,7.0,42.0
1022,M Hill,4,73,7,0,4,10.3,63.0
1023,KY Chan,5,47,5,0,9,10.4,64.0
1024,Chan Ka Man,5,66,6,0,7,14.3,87.0
1025,YS To,3,52,0,0,2,9.3,57.0
1026,Ruchitha Venkatesh,3,38,4,0,0,5.4,34.0
1027,K Nanno,3,25,0,1,1,5.0,30.0
1028,A Kanada,1,6,0,0,3,0.3,3.0
1029,H Dhavina,2,43,5,0,1,4.4,28.0
1030,SK Sonpethkar,1,27,2,0,1,1.3,9.0
1031,J Intan,3,31,3,0,2,7.4,46.0
1032,Nik Nur Atiela,1,8,1,0,2,0.2,2.0
1033,NJ Carey,14,329,30,5,16,62.1,373.0
1034,SS Grimmond,8,112,13,0,3,16.4,100.0
1035,S Gajnabi,4,85,10,0,2,11.0,66.0
1036,C Floyd,2,51,5,3,1,2.3,15.0
1037,S Snater,8,171,12,8,5,24.5,149.0
1038,BFW de Leede,1,14,3,0,0,0.2,2.0
1039,A Nao,6,211,21,7,3,27.5,167.0
1040,J Kila,10,177,15,5,8,31.1,187.0
1041,J Theron,24,750,68,17,42,106.1,637.0
1042,EH Hutchinson,19,402,44,6,16,95.3,573.0
1043,BTJ Wheal,16,532,68,9,23,79.5,479.0
1044,Umaima Sohail,3,45,5,0,1,8.2,50.0
1045,M Short,4,41,2,0,5,13.5,83.0
1046,BMSM Kumari,20,498,52,3,12,88.4,532.0
1047,EA Burns,9,132,9,5,9,21.1,127.0
1048,SIP Fernando,12,240,26,2,11,66.2,398.0
1049,WGAKK Kulasuriya,5,206,27,1,5,31.4,190.0
1050,H Graham,10,234,24,5,11,28.5,173.0
1051,DL Piedt,8,1174,104,41,26,274.1,1645.0
1052,S Muthusamy,2,173,18,4,2,23.4,142.0
1053,D Elgar,28,649,56,9,16,171.2,1028.0
1054,RG Sharma,86,1264,78,28,29,227.1,1363.0
1055,GF Linde,1,133,9,5,4,5.1,31.0
1056,F Song,5,54,3,0,10,12.4,76.0
1057,M Yousaf,1,12,1,0,0,1.0,6.0
1058,CN Ackermann,10,144,13,4,5,23.5,143.0
1059,KD Shah,10,226,28,5,6,29.4,178.0
1060,K Christie,11,279,31,7,10,35.3,213.0
1061,Nasrulla Rana,7,122,17,2,8,16.1,97.0
1062,Mohammad Ghazanfar,6,110,5,6,4,15.2,92.0
1063,Ehsan Khan,26,773,65,18,37,165.4,994.0
1064,Waqas Barkat,16,257,18,9,6,37.0,222.0
1065,Raag Kapur,3,48,6,0,2,5.3,33.0
1066,Haroon Arshad,7,101,11,2,2,10.0,60.0
1067,Nizakat Khan,19,322,18,10,17,69.1,415.0
1068,T van der Gugten,58,1235,136,28,83,213.5,1283.0
1069,S Bhari,3,48,3,2,1,5.3,33.0
1070,N Mlaba,3,58,7,2,0,5.0,30.0
1071,P Vastrakar,6,73,7,1,4,13.1,79.0
1072,RP Yadav,7,106,10,3,13,22.4,136.0
1073,AA Patil,15,253,20,3,15,47.4,286.0
1074,A Reddy,1,27,3,0,1,0.5,5.0
1075,A Bosch,4,49,5,0,2,7.3,45.0
1076,Iftikhar Ahmed,7,127,7,3,4,27.2,164.0
1077,Mohammad Nawaz (3),39,1088,75,46,42,219.4,1318.0
1078,K Birkenstock,1,5,0,0,1,0.1,1.0
1079,R Hekure,7,68,2,2,4,6.4,40.0
1080,TH David,10,221,19,7,8,29.2,176.0
1081,Sidhant Singh,11,304,25,8,8,47.3,285.0
1082,DC Delany,6,165,18,4,8,18.4,112.0
1083,Aizaz Khan,56,1548,150,37,57,264.5,1589.0
1084,JS Kundi,2,15,0,0,0,1.1,7.0
1085,Junaid Siddique (2),8,177,20,4,7,24.1,145.0
1086,JJ Tucker,30,816,60,28,23,144.0,864.0
1087,AS Abioye,8,145,10,2,13,31.3,189.0
1088,D Ajekun,6,75,5,2,4,8.5,53.0
1089,JO Adedeji,5,66,2,1,5,21.5,131.0
1090,RR Patel,20,326,15,13,9,59.0,354.0
1091,JOA Gordon,18,447,47,8,25,76.5,461.0
1092,Imran Haider,14,385,28,11,19,74.1,445.0
1093,D Gim,4,65,5,2,3,3.3,21.0
1094,AAhan Achar,5,102,6,4,2,11.4,70.0
1095,H Carlyon,3,86,7,2,3,11.5,71.0
1096,Sulaimon Runsewe,3,42,3,1,2,7.2,44.0
1097,NMS Param,5,122,10,2,6,22.4,136.0
1098,NA Greenwood,2,14,1,0,1,1.1,7.0
1099,Avi Dixit,1,10,2,0,0,0.2,2.0
1100,U Aryaman Sunil,7,198,20,3,15,40.1,241.0
1101,EB Ringera,2,34,3,0,4,6.2,38.0
1102,JI Rodrigues,1,1,0,0,1,0.1,1.0
1103,JS Henriksen,2,51,7,2,1,5.4,34.0
1104,Muhammad Hafiz,2,33,5,1,1,4.2,26.0
1105,Suharril Fetri,27,578,39,22,30,140.0,840.0
1106,Norwira Zazmie,3,131,6,11,6,15.4,94.0
1107,Khurram Shahzad,5,74,8,0,2,17.3,105.0
1108,Saqlain Arshad,3,41,3,1,0,7.3,45.0
1109,C Pervez,14,382,35,7,17,89.1,535.0
1110,PK Matautaava,12,290,27,6,27,78.4,472.0
1111,AL Stephen,10,208,24,3,15,60.3,363.0
1112,N Nipiko,15,386,41,10,19,77.2,464.0
1113,JW Chilia,16,345,26,10,11,115.0,690.0
1114,W Nalisa,7,166,15,5,6,31.0,186.0
1115,SH Obed,13,307,19,9,22,75.2,452.0
1116,D Mogan,3,97,5,6,4,19.0,114.0
1117,A Mansale,15,346,31,9,15,75.0,450.0
1118,Zaheer Ibrahim,2,60,4,2,2,7.3,45.0
1119,Kamran Khan (2),2,15,1,0,2,1.1,7.0
1120,ZK Shem,2,57,7,1,1,5.1,31.0
1121,Mohammad Rizlan,1,11,0,0,0,1.4,10.0
1122,Owais Ahmed,1,31,2,0,1,1.2,8.0
1123,Lucky Ali,1,8,2,0,0,0.2,2.0
1124,Abraash Khan,1,53,3,3,5,2.1,13.0
1125,Raja Adeel,4,137,14,1,7,44.0,264.0
1126,R Panchal,5,44,4,1,1,9.3,57.0
1127,Farzan Afzal,4,67,5,0,5,12.1,73.0
1128,Kuldeep Lal,2,28,1,2,3,3.2,20.0
1129,TC Vine,3,35,0,2,2,3.3,21.0
1130,Atif Mehmood,5,46,4,0,5,11.0,66.0
1131,Yasir Ali,4,41,1,1,5,7.5,47.0
1132,Fakhrul Mohon,3,60,2,2,2,7.5,47.0
1133,Ali Naqi,3,40,1,2,0,5.1,31.0
1134,Tariq Aziz,3,53,2,1,6,9.4,58.0
1135,P Buccimazza,3,59,6,1,3,8.0,48.0
1136,Zohaib Sarwar,3,42,3,1,0,4.2,26.0
1137,Najjam Shahzad,3,36,1,1,3,9.4,58.0
1138,Imran Khan (4),1,12,0,0,0,0.3,3.0
1139,MO Bacarese,4,57,6,0,2,9.0,54.0
1140,MG Hunter,3,41,3,2,3,5.1,31.0
1141,E Packard,3,52,1,4,1,4.5,29.0
1142,BA Pai,3,62,1,5,3,8.1,49.0
1143,RJ Hatchman,1,33,0,3,0,0.4,4.0
1144,J Perman,2,36,1,2,4,5.2,32.0
1145,K Nestor,1,18,1,0,0,0.3,3.0
1146,Tauqeer Hussain,2,12,1,0,5,3.3,21.0
1147,JA Fitzgerald,1,19,1,1,0,0.5,5.0
1148,N Advani,1,12,0,0,1,0.3,3.0
1149,MD Garratt,1,11,0,0,1,0.3,3.0
1150,A Orfila,2,16,0,1,1,1.2,8.0
1151,PD Hennessy,1,12,1,1,2,0.2,2.0
1152,NH Naureen,1,32,1,4,3,0.3,3.0
1153,Zulqarnain Haider (2),1,5,0,0,0,0.5,5.0
1154,WP Masakadza,18,543,43,18,22,98.3,591.0
1155,Kushal Malla,2,38,2,4,1,1.3,9.0
1156,DS Airee,1,22,1,2,0,0.3,3.0
1157,D Jakiel,2,39,1,2,4,5.2,32.0
1158,WT Mashinge,2,52,7,2,1,3.2,20.0
1159,T Munyonga,1,3,0,0,0,0.1,1.0
1160,Muhammad Wafiq,9,250,27,4,8,44.0,264.0
1161,W Viraliliu,4,67,9,1,1,6.2,38.0
1162,Syazrul Idrus,2,64,8,2,3,4.3,27.0
1163,Mohamed Arief,2,19,2,1,0,1.1,7.0
1164,J Rasu,2,19,2,0,0,3.1,19.0
1165,Panna Ghosh,26,441,47,2,27,105.0,630.0
1166,Lata Mondal,12,121,13,1,3,24.0,144.0
1167,Rumana Ahmed,36,760,67,8,51,171.1,1027.0
1168,Anam Amin,25,501,43,4,33,108.4,652.0
1169,Sadia Iqbal,1,15,2,0,1,0.5,5.0
1170,Asif Ali,1,9,1,0,0,0.5,5.0
1171,RA Reifer,2,50,3,1,2,5.2,32.0
1172,Sharafuddin Ashraf,11,409,32,12,10,70.4,424.0
1173,H Patel,22,451,32,10,19,88.2,530.0
1174,R Gunasekera,1,1,0,0,0,0.2,2.0
1175,Tanwir Afzal,46,1250,146,31,53,241.2,1448.0
1176,Ali Khan,3,98,17,0,4,17.4,106.0
1177,Aiman Anwer,7,171,29,0,5,32.4,196.0
1178,F Guirrugo,3,57,1,1,3,10.1,61.0
1179,P Cuinica,3,73,4,0,1,9.4,58.0
1180,I Chuma,3,50,2,0,3,6.4,40.0
1181,O Matsolo,2,33,3,1,1,2.1,13.0
1182,C Magaia,2,13,0,0,1,3.1,19.0
1183,C Murrombe,3,79,3,0,3,9.1,55.0
1184,A Mazvishaya,8,80,8,0,9,23.0,138.0
1185,L Phiri,2,5,1,0,0,1.3,9.0
1186,V Ooko,1,8,1,0,0,0.5,5.0
1187,M Ngoche,1,18,2,0,0,0.3,3.0
1188,M Mwangi,2,37,2,1,1,4.5,29.0
1189,E Waithaka,2,31,1,0,1,5.3,33.0
1190,M Ochieng,2,17,0,0,4,5.0,30.0
1191,E Wachira,2,35,3,0,4,4.5,29.0
1192,D Njoroge,2,26,3,1,0,1.3,9.0
1193,Aminata Kamara,2,36,4,0,0,4.1,25.0
1194,J Kowa,2,29,2,0,1,3.2,20.0
1195,AM Kamara,2,42,2,0,1,5.1,31.0
1196,M Sheriff,2,20,1,0,0,2.1,13.0
1197,F Bangur,1,26,2,0,0,0.5,5.0
1198,Adama Kamara,2,35,2,0,0,3.3,21.0
1199,C Aweko,3,35,1,0,10,8.5,53.0
1200,F Najjumba,3,49,1,0,2,8.3,51.0
1201,A Obulor,1,20,2,0,1,0.5,5.0
1202,A Salomao,2,38,3,0,2,3.1,19.0
1203,JA Diergaardt,2,18,2,0,1,4.2,26.0
1204,ZK Finkili,1,10,1,0,0,0.1,1.0
1205,M Pascal,2,27,1,1,2,2.4,16.0
1206,G Ishimwe,3,67,7,1,0,8.0,48.0
1207,E Moiane,1,5,0,0,0,0.2,2.0
1208,M Ndhambi,1,20,1,0,1,0.4,4.0
1209,J Mbabazi,1,17,1,0,0,0.5,5.0
1210,D Busingye,1,17,1,0,1,0.5,5.0
1211,V Mansale,1,9,1,0,1,0.4,4.0
1212,R Andrew,3,46,4,0,3,4.4,28.0
1213,S Solman,3,38,2,1,1,7.3,45.0
1214,L Tastuki,3,45,4,0,2,9.2,56.0
1215,A Chilia,3,46,3,1,1,8.2,50.0
1216,N Navaika,3,59,5,0,6,9.4,58.0
1217,NMP Suwandewi,3,32,1,0,2,8.5,53.0
1218,N Sitompul,3,34,2,0,6,9.4,58.0
1219,T Hanum,2,29,3,0,4,2.5,17.0
1220,NKF Rada Rani,3,48,3,0,1,8.1,49.0
1221,K Winda Prastini,2,43,3,0,3,5.2,32.0
1222,E Eduard,2,30,4,0,3,4.3,27.0
1223,M Vua,3,36,2,0,2,8.5,53.0
1224,R Muriyalo,3,31,1,0,1,8.1,49.0
1225,LS Mulivai,2,30,3,0,1,5.1,31.0
1226,LO Telea,2,15,2,0,5,3.4,22.0
1227,T Lafai,2,27,2,0,1,4.0,24.0
1228,MI Tato,2,19,1,0,3,4.0,24.0
1229,T Iosefo,2,22,1,0,3,3.5,23.0
1230,M Tilau,2,44,5,0,4,4.1,25.0
1231,L Samani,1,4,0,0,0,0.3,3.0
1232,L Vuadreu,1,16,1,0,4,0.5,5.0
1233,A Tagilala,1,18,1,0,0,1.0,6.0
1234,L Rika,1,25,3,0,0,0.3,3.0
1235,M Mete,1,9,0,0,1,0.5,5.0
1236,FLV Pula,1,5,0,0,0,0.3,3.0
1237,Mohammad Irfan,103,3767,442,49,134,800.5,4805.0
1238,Al-Amin Hossain,46,1615,170,42,73,340.2,2042.0
1239,PR Brown,4,123,8,7,3,10.3,63.0
1240,S Mahmood,5,155,14,8,9,15.1,91.0
1241,L Gregory,13,337,37,7,11,42.5,257.0
1242,DJ Mitchell,2,33,2,3,1,2.1,13.0
1243,MW Parkinson,2,59,2,6,5,4.3,27.0
1244,BM Tickner,2,73,7,3,2,5.0,30.0
1245,R Shepherd,3,97,11,2,3,14.0,84.0
1246,Javed Ahmadi,11,166,9,1,2,33.5,203.0
1247,Zawar Farid,1,1,0,0,0,0.1,1.0
1248,Mehran Khan,13,238,24,4,10,36.0,216.0
1249,AA Alleyne,3,80,9,1,2,8.0,48.0
1250,Mohammad Sami,47,1651,181,40,71,303.0,1818.0
1251,Saeed Ajmal,212,10586,877,149,466,3181.2,19088.0
1252,Imran Khalid,3,52,5,3,1,3.4,22.0
1253,Amad Butt,8,157,13,9,6,17.1,103.0
1254,DJG Sammy,250,8406,795,115,242,2041.0,12246.0
1255,Sohail Tanvir,143,4404,456,88,182,831.2,4988.0
1256,Mohammad Irfan (4),17,466,45,24,21,49.5,299.0
1257,Bilawal Bhatti,26,1049,135,15,21,186.0,1116.0
1258,GD Elliott,78,1539,116,40,63,294.3,1767.0
1259,Zulfiqar Babar,35,2745,235,50,81,852.3,5115.0
1260,Anwar Ali,55,1739,173,46,44,259.5,1559.0
1261,Hasan Khan,10,213,14,9,9,32.1,193.0
1262,Mohammad Asghar,12,285,21,16,11,30.2,182.0
1263,Sohail Khan,40,2170,264,34,74,486.0,2916.0
1264,Abrar Ahmed,2,41,3,1,0,2.4,16.0
1265,RS Bopara,142,2942,266,43,92,538.3,3231.0
1266,Zohaib Khan,1,13,1,1,0,0.1,1.0
1267,Umar Gul,205,9165,1077,109,380,2143.1,12859.0
1268,Usman Khan,10,245,22,7,9,29.2,176.0
1269,Usama Mir,10,288,15,20,12,30.0,180.0
1270,RR Rossouw,4,51,3,1,2,7.5,47.0
1271,Kashif Bhatti,1,24,0,3,0,0.2,2.0
1272,CS Delport,6,91,12,2,5,10.3,63.0
1273,Imran Khan (1),5,170,7,10,5,15.4,94.0
1274,Aamer Yamin,9,215,24,5,7,32.0,192.0
1275,Mir Hamza,4,141,15,6,4,12.0,72.0
1276,Ghulam Mudassar,1,23,3,1,0,0.2,2.0
1277,BB McCullum,7,99,6,2,1,29.4,178.0
1278,Saad Nasim,4,66,9,1,0,7.2,44.0
1279,RR Emrit,3,122,11,4,3,15.5,95.0
1280,Hammad Azam,8,155,9,5,3,24.1,145.0
1281,Ibtisam Sheikh,4,106,6,5,6,11.4,70.0
1282,Hassan Khan,11,187,6,10,6,25.3,153.0
1283,Raza Hasan,13,325,28,11,13,51.4,310.0
1284,SR Patel,73,2295,152,64,67,450.5,2705.0
1285,Umaid Asif,12,313,25,13,16,44.2,266.0
1286,Agha Salman,2,13,2,0,0,1.1,7.0
1287,Hussain Talat,6,120,10,6,4,13.5,83.0
1288,Sameen Gul,8,200,10,14,6,25.2,152.0
1289,Khalid Usman,1,26,1,2,1,0.4,4.0
1290,Salman Irshad,3,57,7,2,1,3.5,23.0
1291,Sarfraz Ahmed,1,6,0,1,0,0.4,4.0
1292,D Wiese,44,1315,145,31,61,176.5,1061.0
1293,Saif Badar,1,14,0,1,1,0.3,3.0
1294,Zafar Gohar,3,95,8,4,5,14.1,85.0
1295,RA Whiteley,1,42,3,3,0,1.0,6.0
1296,KJ Abbott,67,2735,335,41,108,674.1,4045.0
1297,Bilal Asif,4,114,6,4,5,22.3,135.0
1298,Danish Aziz,1,16,0,2,0,0.1,1.0
1299,Muhammad Musa,1,38,5,1,0,0.4,4.0
1300,Ebadat Hossain,1,112,14,2,1,5.4,34.0
1301,SL Bates,9,263,29,5,9,33.1,199.0
1302,RM Farrell,53,1272,123,13,67,245.5,1475.0
1303,L Griffith,5,95,9,1,1,10.3,63.0
1304,HJ Darlington,9,231,24,2,12,32.4,196.0
1305,H Silver-holmes,7,103,12,2,5,12.2,74.0
1306,S Campbell,5,46,6,0,1,7.3,45.0
1307,LG Smith,4,41,2,0,5,5.2,32.0
1308,M Strano,12,279,18,4,22,41.3,249.0
1309,M Brown,9,179,22,0,12,28.2,170.0
1310,CJ Koski,1,20,3,0,0,0.2,2.0
1311,A Sutherland,5,129,21,0,2,16.2,98.0
1312,EA Osborne,64,1618,127,17,82,342.4,2056.0
1313,NM Hancock,8,178,22,2,1,24.1,145.0
1314,T Flintoff,7,125,17,0,2,15.5,95.0
1315,CL Rafferty,2,39,2,2,1,1.5,11.0
1316,ML Gibson,8,180,19,3,10,24.2,146.0
1317,SJ Johnson,10,199,25,2,13,34.4,208.0
1318,G Prestwidge,9,142,16,0,6,26.0,156.0
1319,GM Harris,22,418,37,4,18,82.5,497.0
1320,DN Wyatt,41,841,55,11,47,167.3,1005.0
1321,P Cleary,5,117,15,1,4,14.1,85.0
1322,EL King,2,22,3,0,0,2.1,13.0
1323,JL Barsby,7,118,13,3,4,11.4,70.0
1324,TM McGrath,7,162,14,2,7,21.1,127.0
1325,A Price,5,59,4,1,0,6.4,40.0
1326,HL Ferling,31,657,81,4,26,175.0,1050.0
1327,M Penna,6,151,10,5,11,17.4,106.0
1328,T Peschel,7,139,13,3,5,21.0,126.0
1329,C Leeson,3,29,4,0,1,4.5,29.0
1330,M Phillips,3,33,1,2,2,4.1,25.0
1331,R Trenaman,1,23,4,0,0,0.2,2.0
1332,SM Betts,2,28,4,0,1,2.5,17.0
1333,CG Sippel,1,12,2,0,0,0.1,1.0
1334,A King,2,65,7,2,1,4.4,28.0
1335,OJ Hannon-Dalby,13,344,35,9,13,40.3,243.0
1336,CJC Wright,1,31,3,1,2,0.5,5.0
1337,RO Gordon,6,188,14,10,7,20.0,120.0
1338,LJ Fletcher,5,150,16,4,3,15.5,95.0
1339,BA Hutton,1,23,3,1,1,0.3,3.0
1340,SJ Mullaney,12,278,21,8,13,33.5,203.0
1341,SKW Wood,2,19,3,0,1,1.1,7.0
1342,P Coughlin,11,313,30,12,19,36.4,220.0
1343,U Arshad,14,458,49,15,13,47.3,285.0
1344,RD Pringle,8,161,10,9,2,15.4,94.0
1345,KK Jennings,16,381,37,6,10,53.4,322.0
1346,SG Borthwick,19,536,31,20,25,75.0,450.0
1347,JD Shantry,10,283,31,9,4,32.0,192.0
1348,J Leach,12,388,34,14,20,42.1,253.0
1349,BL D'Oliveira,11,243,16,10,6,30.2,182.0
1350,EG Barnard,10,245,16,13,7,27.1,163.0
1351,DKH Mitchell,9,131,6,4,3,18.0,108.0
1352,RK Kleinveldt,29,1204,150,19,46,254.2,1526.0
1353,Azharullah,12,329,39,6,8,37.0,222.0
1354,SP Crook,13,260,27,9,9,27.2,164.0
1355,GG White,14,314,15,12,13,40.4,244.0
1356,RML Taylor,30,831,79,21,23,135.0,810.0
1357,BA Raine,10,294,36,9,14,35.1,211.0
1358,NJ Dexter,10,204,16,1,7,26.4,160.0
1359,JKH Naik,6,93,7,3,3,12.0,72.0
1360,MT Coles,8,228,22,7,9,27.3,165.0
1361,DA Griffiths,13,417,50,9,15,44.4,268.0
1362,ME Claydon,11,373,37,9,13,39.5,239.0
1363,JC Tredwell,75,2801,188,90,94,582.5,3497.0
1364,DI Stevens,13,368,37,16,11,37.1,223.0
1365,FK Cowdrey,9,176,8,8,9,20.5,125.0
1366,J Overton,10,296,29,11,14,34.5,209.0
1367,TD Groenewald,5,135,17,4,3,10.0,60.0
1368,Yasir Arafat,42,1390,147,32,56,227.0,1362.0
1369,J Allenby,7,119,12,2,0,11.4,70.0
1370,MTC Waller,12,288,19,13,13,35.1,211.0
1371,MW Dixon,4,129,18,3,4,13.4,82.0
1372,MR Quinn,14,448,46,16,17,51.4,310.0
1373,GR Napier,13,389,39,13,24,45.0,270.0
1374,Azhar Mahmood,32,912,96,23,42,128.4,772.0
1375,MW Pillans,3,70,7,3,1,6.0,36.0
1376,GJ Batty,17,534,38,11,11,100.0,600.0
1377,JE Burke,2,26,5,0,1,2.1,13.0
1378,DA Payne,1,61,5,4,0,0.5,5.0
1379,CN Miles,1,29,2,1,2,0.3,3.0
1380,CJ Liddle,1,34,3,3,0,0.3,3.0
1381,TMJ Smith,13,320,21,10,12,41.1,247.0
1382,BAC Howell,14,369,22,13,24,54.4,328.0
1383,JMR Taylor,2,35,0,2,0,3.0,18.0
1384,DR Briggs,16,461,37,21,14,53.1,319.0
1385,A Shahzad,22,775,87,13,33,145.4,874.0
1386,OE Robinson,1,17,0,2,0,0.1,1.0
1387,WAT Beer,11,270,20,9,10,35.4,214.0
1388,SJ Thakor,11,263,25,6,12,32.0,192.0
1389,A Carter,8,246,27,7,12,28.4,172.0
1390,AL Hughes,12,283,15,9,7,35.1,211.0
1391,MJJ Critchley,12,257,15,7,11,34.4,208.0
1392,SJ Croft,13,175,16,1,6,23.1,139.0
1393,N Wagner,37,3862,527,30,137,1199.0,7194.0
1394,GT Griffiths,5,100,13,2,5,12.2,74.0
1395,TC Smith,2,31,3,0,0,4.5,29.0
1396,GA Edwards,10,316,24,16,17,35.5,215.0
1397,AM Lilley,10,203,14,7,9,25.2,152.0
1398,SD Parry,22,605,37,25,22,81.2,488.0
1399,GG Wagg,12,261,24,9,13,29.1,175.0
1400,DA Cosker,8,164,13,4,8,22.1,133.0
1401,ZS Ansari,13,491,41,11,14,96.0,576.0
1402,WR Smith,4,67,6,3,1,4.3,27.0
1403,TL Best,42,2101,243,32,64,492.0,2952.0
1404,R McLaren,85,3000,338,49,125,570.1,3421.0
1405,GM Andrew,8,165,20,2,9,19.3,117.0
1406,JK Fuller,11,300,28,9,14,40.0,240.0
1407,HW Podmore,7,208,16,11,6,19.5,119.0
1408,RH Patel,2,61,7,1,4,4.4,28.0
1409,JJ Cobb,12,195,13,5,8,21.4,130.0
1410,WJ Durston,7,123,6,6,5,13.2,80.0
1411,JC Wainman,2,47,7,1,1,2.5,17.0
1412,A Lyth,6,32,1,1,2,5.2,32.0
1413,WMH Rhodes,9,139,9,7,6,13.4,82.0
1414,BO Coad,3,99,5,7,2,6.4,40.0
1415,TJ Wells,5,76,7,2,1,7.5,47.0
1416,A Javid,11,153,9,6,4,16.1,97.0
1417,DD Masters,7,186,17,8,5,21.1,127.0
1418,Ashar Zaidi,10,183,13,4,5,25.2,152.0
1419,T Westley,5,53,2,1,1,8.2,50.0
1420,JA Rudolph,3,22,1,1,0,2.1,13.0
1421,GL van Buuren,6,133,13,4,6,14.5,89.0
1422,LC Norwell,11,302,36,11,3,31.0,186.0
1423,IAA Thomas,4,117,7,4,5,13.2,80.0
1424,GK Berg,12,272,21,10,15,36.2,218.0
1425,CJ Russell,2,50,2,4,1,5.0,30.0
1426,R Clarke,13,312,34,7,17,51.1,307.0
1427,JE Poysden,7,133,9,6,3,14.2,86.0
1428,CJ Taylor,1,19,3,1,0,0.1,1.0
1429,MD Taylor,12,297,30,7,17,42.0,252.0
1430,CDJ Dent,2,22,1,2,1,1.0,6.0
1431,WL Madsen,5,60,5,3,3,7.2,44.0
1432,SA Patterson,4,112,10,1,7,12.5,77.0
1433,J Clark,10,295,24,15,10,33.4,202.0
1434,C Rushworth,12,288,27,6,19,44.2,266.0
1435,K Noema-Barnett,8,165,10,6,3,16.4,100.0
1436,DW Lawrence,11,182,14,6,12,23.1,139.0
1437,RN ten Doeschate,36,970,97,15,42,173.0,1038.0
1438,TG Helm,1,27,1,1,1,1.0,6.0
1439,NA Sowter,11,249,20,5,12,35.3,213.0
1440,GH Rhodes,4,40,3,0,6,5.3,33.0
1441,BW Sanderson,3,75,7,2,8,9.2,56.0
1442,RJ Gleeson,10,207,29,2,16,35.2,212.0
1443,R Rampaul,126,5366,588,83,209,1288.2,7730.0
1444,MA Ashraf,7,162,16,4,8,20.0,120.0
1445,OP Rayner,5,111,6,4,6,12.4,76.0
1446,DJ Malan,2,26,4,1,0,1.1,7.0
1447,JG Myburgh,2,17,3,0,0,1.1,7.0
1448,Azeem Rafiq,11,270,27,5,16,36.4,220.0
1449,K Carver,4,101,5,8,6,9.4,58.0
1450,BD Cotton,4,104,11,5,3,9.2,56.0
1451,PD Trego,4,36,4,0,2,4.2,26.0
1452,NL Buck,8,194,23,3,12,26.0,156.0
1453,PI Walter,7,173,24,4,4,17.5,107.0
1454,JJ Weatherley,1,8,1,0,0,0.2,2.0
1455,MD Hunn,1,35,2,3,1,0.3,3.0
1456,J Shaw,1,10,1,0,0,0.1,1.0
1457,GHS Garton,2,42,4,1,4,3.5,23.0
1458,CD Nash,5,97,6,2,1,9.5,59.0
1459,MJ Cosgrove,3,36,3,0,2,5.3,33.0
1460,RA Stevenson,1,39,4,2,2,0.5,5.0
1461,DP Sibley,2,55,5,3,3,2.5,17.0
1462,F Behardien,41,795,63,14,17,131.3,789.0
1463,RJ Sayer,5,114,6,10,3,8.2,50.0
1464,TP Milnes,1,29,3,1,0,0.4,4.0
1465,BJ Taylor,5,68,2,2,3,7.5,47.0
1466,RF Higgins,6,94,5,3,7,13.0,78.0
1467,LM Reece,4,51,6,1,2,4.2,26.0
1468,AD Thomason,3,66,7,3,2,5.3,33.0
1469,RA Jones,2,74,8,4,2,3.0,18.0
