,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
329,Mushfiqur Rahim,267,8763,847,107,218,13074,62,14,14,200
330,Shakib Al Hasan,320,10619,1079,111,266,12911,78,21,15,217
331,Mahmudullah,227,6256,566,91,167,8834,41,5,12,157
332,P Kumar,99,788,68,29,65,777,2,0,13,66
333,MM Patel,40,141,17,1,19,182,0,0,14,23
334,SS Tiwary,66,1325,98,46,42,1125,7,0,1,61
335,AT Rayudu,171,4336,366,131,132,3977,26,2,13,124
336,TA Boult,82,663,61,29,44,1136,1,0,13,52
337,R Stokell,10,126,18,0,8,133,0,0,1,36
338,L Little,5,22,2,0,3,37,0,0,1,8
339,V Krishnamurthy,31,480,58,6,25,493,1,0,1,70
340,TWM Latham,115,4474,460,38,102,7584,33,13,7,193
341,GH Worker,6,198,13,6,4,239,1,0,0,62
342,LRPL Taylor,390,15290,1474,271,317,20259,108,38,17,326
343,NT Broom,56,1248,107,15,50,1439,8,1,7,109
344,JDS Neesham,85,2191,229,40,68,2502,10,3,3,170
345,C Munro,76,1556,133,71,66,1261,7,1,9,101
346,SC Kuggeleijn,3,19,1,1,2,11,0,0,1,11
347,MJ Santner,73,1216,114,28,49,1970,3,1,5,103
348,Simi Singh,4,14,1,0,4,31,0,0,2,9
349,Vishnu Vinod,3,19,1,1,3,23,0,0,0,9
350,Shan Masood,10,462,42,4,10,1037,4,1,0,138
351,Hasan Ali,26,188,14,11,17,145,0,0,4,32
352,A Steyn,17,388,50,0,14,643,2,1,0,117
353,CJ Jordan,66,740,62,26,45,810,1,0,8,54
354,IR Jaggi,7,76,6,0,5,95,0,0,0,28
355,Mosaddek Hossain,38,813,68,20,28,953,3,0,1,88
356,Mehedi Hasan Miraz,21,411,54,2,18,724,3,0,1,74
357,Mashrafe Mortaza,142,1656,153,57,108,1890,1,0,14,63
358,Mustafizur Rahman,28,71,7,2,17,117,0,0,11,18
359,PP Chawla,90,627,58,18,57,560,0,0,14,24
360,AS Rajpoot,5,17,2,0,3,28,0,0,0,8
361,CL Tryon,53,993,92,42,36,807,3,0,7,79
362,S Pandey,19,244,26,2,13,367,0,0,4,36
363,J Goswami,34,356,31,6,27,486,0,0,4,43
364,E Bisht,13,62,6,0,8,77,0,0,2,14
365,S Verma,9,57,4,1,6,66,0,0,1,33
366,RS Gayakwad,3,7,0,0,1,18,0,0,1,5
367,E Mbofana,3,5,1,0,2,15,0,0,2,5
368,CA Young,12,27,2,1,7,41,0,0,3,11
369,MG Johnson,201,3265,346,62,136,4620,15,2,22,158
370,A Khaka,19,58,4,0,9,120,0,0,4,15
371,MM Ali,135,3897,408,90,110,5621,26,9,13,190
372,Q de Kock,197,7707,887,154,178,7985,54,21,8,178
373,F du Plessis,259,10057,964,158,219,13467,78,21,7,188
374,JP Duminy,347,10585,833,214,255,13156,67,9,14,166
375,DA Miller,212,5241,370,195,146,4434,25,5,7,138
376,WD Parnell,63,752,64,12,39,989,1,0,3,56
377,AL Phehlukwayo,19,301,32,9,9,319,0,0,3,46
378,F Behardien,77,1558,116,38,53,1462,6,0,6,70
379,TS Roland-Jones,10,130,12,4,5,98,0,0,0,37
380,JT Ball,10,93,11,1,9,146,0,0,1,33
381,ST Finn,62,429,48,3,34,1109,1,0,18,76
382,MJ Henry,31,449,52,14,22,475,1,0,6,87
383,JS Patel,42,466,47,5,30,813,0,0,8,49
384,Imrul Kayes,102,3350,388,37,95,5764,22,6,5,201
385,N Dickwella,38,1435,151,12,37,1670,11,2,1,116
386,WU Tharanga,202,6728,777,50,183,9175,52,16,18,174
387,BKG Mendis,73,2797,314,42,66,3846,27,3,5,213
388,LD Chandimal,194,6463,574,71,168,9663,48,13,10,221
389,CK Kapugedera,114,2330,169,57,97,2849,8,1,8,155
390,MDKJ Perera,123,3594,401,71,110,3725,25,6,10,135
391,DAS Gunaratne,31,988,99,13,21,1282,7,2,1,155
392,S Prasanna,55,566,41,34,44,514,2,0,5,95
393,RAS Lakmal,73,612,74,6,42,1192,1,0,18,77
394,N Pradeep,40,151,21,0,22,339,0,0,12,26
395,Usman Ghani,25,620,63,13,23,724,4,1,1,118
396,Gulbadin Naib,76,1145,84,45,61,1196,4,0,8,82
397,Asghar Stanikzai,112,2567,174,88,104,3281,10,2,9,142
398,Samiullah Shenwari,100,2195,170,50,79,2740,8,0,2,96
399,Karim Janat,12,154,11,6,9,163,0,0,0,26
400,Mohammad Nabi,160,3139,196,136,136,3025,8,1,6,116
401,Shafiqullah,42,630,45,34,29,488,2,0,5,56
402,Najibullah Zadran,84,1888,149,83,62,1763,12,0,3,89
403,Amir Hamza,21,72,4,2,10,137,0,0,4,21
404,Shapoor Zadran,24,56,2,3,10,141,0,0,7,13
405,CAK Walton,24,274,29,10,24,265,0,0,7,40
406,E Lewis,62,1754,144,89,60,1674,11,2,6,148
407,JN Mohammed,18,433,37,8,13,597,3,0,1,91
408,R Powell,14,254,20,11,12,259,1,0,1,54
409,Noor Ali Zadran,56,1290,148,7,53,1696,6,0,5,67
410,Dawlat Zadran,54,409,37,17,36,515,0,0,10,41
411,Mohammad Hafeez,311,10447,1113,179,279,13318,71,20,21,224
412,Shoaib Malik,259,7053,612,128,204,8198,38,7,13,245
413,Imad Wasim,60,985,94,20,37,829,3,0,7,63
414,Rubel Hossain,63,345,41,5,32,655,0,0,13,45
415,LE Plunkett,64,710,64,19,36,677,1,0,8,62
416,MA Wood,19,266,42,1,9,420,0,0,2,39
417,TG Southee,154,2190,191,103,111,2231,6,0,18,82
418,Javed Ahmadi,26,532,64,6,25,712,4,0,3,81
419,Fakhar Zaman,44,1266,131,39,41,1122,9,2,6,138
420,MD Gunathilaka,37,1203,129,19,37,1289,10,2,1,133
421,AD Mathews,324,11356,1008,187,236,16352,78,20,18,248
422,A Zampa,35,154,12,3,22,186,0,0,7,17
423,M Morkel,126,1175,157,15,85,1920,0,0,24,40
424,Imran Tahir,53,308,39,3,29,453,0,0,11,29
425,Rahmat Shah,42,1659,152,18,38,2544,13,4,3,174
426,Afsar Zazai,16,382,26,2,13,764,3,0,3,89
427,JL Carter,28,581,48,10,22,822,2,0,1,54
428,AR Nurse,19,238,23,5,14,230,0,0,1,44
429,ML Cummins,7,55,4,3,4,179,0,0,0,24
430,DM de Silva,42,1470,167,7,36,2273,11,3,2,194
431,NLTC Perera,190,2861,218,116,146,2371,8,0,15,80
432,Fahim Ashraf,1,15,1,1,0,15,0,0,0,15
433,Taskin Ahmed,19,116,6,3,13,250,0,0,4,41
434,R Ashwin,168,3091,317,29,116,4621,18,6,19,124
435,MH Cross,57,1189,117,27,49,1240,5,0,2,61
436,KJ Coetzer,77,2591,289,59,71,2568,18,4,8,156
437,CS MacLeod,79,2035,194,39,73,1983,14,4,11,175
438,RD Berrington,75,1875,127,50,66,1960,9,2,4,110
439,CD Wallace,24,467,36,10,20,499,4,0,2,58
440,PL Mommsen,40,1082,90,17,32,1188,7,1,3,111
441,CD de Lange,11,137,8,2,6,171,0,0,0,26
442,SJ Baard,43,1352,140,31,39,1285,13,0,2,97
443,LP van der Westhuizen,11,188,17,6,11,158,0,0,1,50
444,CG Williams,41,861,62,23,31,835,4,1,3,109
445,MG Erasmus,34,937,75,30,28,1008,8,0,1,91
446,JN Frylinck,17,182,9,6,10,181,0,0,3,42
447,C Viljoen,16,221,21,2,13,216,0,0,1,35
448,SF Burger,26,629,45,11,20,953,2,0,0,61
449,ZE Green,22,342,29,7,18,525,1,0,1,61
450,JJ Smit,31,485,25,26,21,447,1,0,2,59
451,Z Groenewald,11,79,5,2,7,99,0,0,0,42
