,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
1372,RW Chakabva,49,1062,86,10,46,2119,3,2,6,154
1373,N Madziva,21,155,10,5,13,206,0,0,2,28
1374,Nazmul Hossain Shanto,3,46,5,0,3,130,0,0,0,30
1375,A Ndlovu,1,2,0,0,1,3,0,0,0,2
1376,Fazal Niazai,1,12,1,0,1,14,0,0,0,12
1377,A Kitayama,6,24,1,0,6,40,0,0,2,13
1378,Erika Oda,6,89,6,0,5,110,0,0,0,36
1379,M Kanno,8,43,4,0,7,90,0,0,1,15
1380,A Kanada,3,34,2,0,2,49,0,0,1,29
1381,M Yanagida,8,47,3,0,7,114,0,0,1,18
1382,S Miyaji,10,96,6,0,7,139,0,0,1,22
1383,R Endo,6,23,1,0,5,48,0,0,1,13
1384,A Kano,4,15,0,0,3,31,0,0,2,8
1385,R Kanai,3,8,1,0,0,10,0,0,0,6
1386,Su Jin Kim,2,8,1,0,2,19,0,0,1,8
1387,Mina Baek,2,33,2,0,1,57,0,0,0,28
1388,Seri Chang,2,13,0,0,2,26,0,0,0,11
1389,Seungmin Song,3,24,2,0,3,62,0,0,0,14
1390,Jiyeon Park,2,11,1,0,2,32,0,0,0,9
1391,Haliam Kwon,2,3,0,0,2,7,0,0,1,3
1392,Hyejin Park,2,1,0,0,2,9,0,0,1,1
1393,Kang Choi,2,16,0,0,2,34,0,0,0,14
1394,Bella Poon,3,25,3,0,2,32,0,0,1,14
1395,Y Daswani,3,24,0,0,3,47,0,0,0,20
1396,YS To,4,44,1,0,2,81,0,0,0,18
1397,KY Chan,5,39,4,0,5,46,0,0,1,21
1398,M Hill,5,43,3,0,5,64,0,0,0,19
1399,Shanzeen Shahzad,2,11,0,0,1,22,0,0,0,9
1400,Sun Meng Yao,6,95,5,0,4,163,0,0,0,49
1401,Zhang Mei,6,99,7,0,5,221,0,0,0,35
1402,Zhang Chan,3,5,0,0,2,6,0,0,1,3
1403,C Zhou,8,67,4,0,8,104,0,0,2,26
1404,Huang Zhuo,9,143,6,0,6,200,0,0,0,40
1405,F Song,7,80,4,0,6,103,0,0,1,21
1406,Han Lili,3,20,2,0,1,22,0,0,0,16
1407,L Jie,2,1,0,0,1,6,0,0,1,1
1408,Wu Juan,3,17,0,0,3,34,0,0,0,9
1409,LI Haoye,1,0,0,0,1,1,0,0,1,0
1410,M Yousaf,2,14,0,0,2,28,0,0,0,10
1411,Ruchitha Venkatesh,2,31,1,0,1,57,0,0,0,25
1412,Hiu Ying Cheung,1,7,1,0,0,9,0,0,0,7
1413,Chan Ka Man,3,10,1,0,2,18,0,0,1,5
1414,M Wai Siu,2,4,0,0,1,9,0,0,0,3
1415,M Shiraishi,5,17,1,0,5,58,0,0,0,7
1416,N Tokizawa,4,30,1,0,1,56,0,0,1,22
1417,RR Seth,2,10,1,0,1,32,0,0,0,6
1418,Vathana Sreemurugavel,2,9,0,0,1,20,0,0,0,5
1419,H Dhavina,1,2,0,0,1,3,0,0,0,2
1420,Shafia Hassan,1,5,0,0,1,9,0,0,0,5
1421,SK Sonpethkar,1,0,0,0,1,6,0,0,1,0
1422,SS Grimmond,8,77,7,4,7,69,0,0,2,34
1423,S Gajnabi,5,34,4,0,5,50,0,0,0,11
1424,S Snater,5,20,0,1,5,32,0,0,2,10
1425,C Floyd,2,23,2,1,1,23,0,0,0,21
1426,EH Hutchinson,14,191,5,13,9,168,0,0,1,42
1427,J Theron,9,47,4,1,4,38,0,0,3,31
1428,J Kila,7,77,6,5,4,48,0,0,1,27
1429,A Nao,4,20,2,0,0,15,0,0,0,7
1430,Javeria Rauf,11,90,8,1,10,120,0,0,3,25
1431,B Nwobodo,2,45,1,0,1,80,0,0,0,33
1432,H Ayoka,1,4,0,0,1,7,0,0,0,4
1433,F Fyneface,1,0,0,0,1,1,0,0,1,0
1434,A Obulor,1,1,0,0,0,1,0,0,0,1
1435,G Ephraim,1,0,0,0,1,8,0,0,1,0
1436,M Desmond,1,0,0,0,1,1,0,0,1,0
1437,T Abdulquadri,1,0,0,0,1,1,0,0,1,0
1438,A Ndiraya,8,121,17,0,6,228,0,0,1,35
1439,M Short,3,8,0,0,2,12,0,0,0,5
1440,BYA Mendis,37,483,67,2,32,581,1,0,5,55
1441,MAA Sanjeewani,10,94,5,0,10,181,0,0,1,36
1442,H Karunaratne,5,47,4,0,5,77,0,0,1,17
1443,NND de Silva,14,102,10,0,12,202,0,0,1,25
1444,SIP Fernando,8,16,1,0,3,46,0,0,4,11
1445,EA Burns,9,128,20,0,5,91,0,0,0,30
1446,NJ Carey,10,179,18,0,9,190,1,0,0,60
1447,WGAKK Kulasuriya,4,14,2,0,3,33,0,0,1,12
1448,H Graham,8,103,5,2,5,89,0,0,0,33
1449,BMSM Kumari,10,35,5,0,7,111,0,0,0,9
1450,DL Piedt,8,131,13,2,7,427,1,0,1,56
1451,S Muthusamy,2,98,10,0,1,276,1,0,0,82
1452,PBB Rajapaksa,5,131,7,9,4,92,1,0,0,77
1453,BOP Fernando,4,98,10,3,4,87,1,0,0,78
1454,PADLR Sandakan,13,65,9,0,9,118,0,0,3,28
1455,CAK Rajitha,3,3,0,0,1,13,0,0,2,3
1456,A Nortje,2,12,1,0,1,97,0,0,0,9
1457,Zubayr Hamza,1,62,10,1,1,83,1,0,0,62
1458,GF Linde,1,64,8,1,1,134,1,0,0,64
1459,Sinae Kim,1,1,0,0,1,17,0,0,0,1
1460,Hee Jung Lee,1,1,0,0,1,5,0,0,0,1
1461,Jiyeon Park (2),1,1,0,0,0,2,0,0,0,1
1462,WK Lai,3,17,0,0,2,37,0,0,0,8
1463,CN Ackermann,11,243,18,5,7,196,0,0,0,43
1464,GJ Delany,12,265,24,8,9,173,2,0,0,89
1465,HT Tector,11,173,14,3,7,131,0,0,0,47
1466,Ahsan Abbasi,6,65,7,0,5,78,0,0,0,18
1467,Nizakat Khan,62,1430,120,50,56,1348,6,0,7,93
1468,Shahid Wasif,12,146,8,4,9,181,0,0,2,45
1469,KD Shah,28,482,45,11,22,557,3,0,4,79
1470,Waqas Barkat,36,555,48,1,32,639,1,0,4,51
1471,A Bhagwat,3,2,0,0,3,7,0,0,1,1
1472,Ehsan Khan,18,230,15,10,9,264,0,0,4,42
1473,Raag Kapur,3,12,1,0,2,15,0,0,0,6
1474,Aarif Sheikh,10,151,14,2,9,167,0,0,0,39
1475,PA van Meekeren,14,63,3,3,9,96,0,0,1,18
1476,SS McKechnie,10,153,12,1,7,185,0,0,1,44
1477,Haroon Arshad,8,192,13,7,7,132,1,0,0,68
1478,Nasrulla Rana,3,12,0,0,2,20,0,0,1,7
1479,Mohammad Ghazanfar,3,15,2,0,2,19,0,0,0,6
1480,K Christie,4,14,0,0,2,20,0,0,1,11
1481,I Pandey,4,33,5,0,4,50,0,0,0,22
1482,S Jora,3,19,2,0,3,19,0,0,1,17
1483,LN Rajbanshi,1,3,0,0,1,6,0,0,0,3
1484,S Bhari,2,0,0,0,1,3,0,0,2,0
1485,Naseem Khushi,5,81,4,6,4,49,0,0,1,29
1486,Shafali Verma,8,213,25,9,7,148,2,0,2,73
1487,JI Rodrigues,11,250,30,0,10,303,2,0,2,69
1488,P Vastrakar,5,20,2,0,3,18,0,0,1,10
1489,RP Yadav,1,1,0,0,1,1,0,0,0,1
1490,T Bhatia,6,42,4,0,2,60,0,0,1,11
1491,N Shangase,3,18,4,0,3,48,0,0,0,10
1492,TS Sekhukhune,5,9,0,0,3,44,0,0,2,6
1493,N Mlaba,1,0,0,0,1,1,0,0,1,0
1494,L Goodall,9,136,19,0,6,198,0,0,1,38
1495,A Reddy,1,22,3,0,1,25,0,0,0,22
1496,AA Patil,10,65,3,0,7,82,0,0,1,26
1497,Iftikhar Ahmed,14,246,23,7,10,215,1,0,1,62
1498,S Samarawickrama,2,18,2,0,2,26,0,0,0,12
1499,AK Perera,5,38,1,0,5,61,0,0,0,13
1500,M Bhanuka,2,36,0,2,2,40,0,0,1,36
1501,Umar Akmal,218,6046,528,135,177,6603,36,3,21,204
1502,SK Atai,1,24,2,0,1,59,0,0,0,24
1503,R Hekure,5,8,0,0,4,17,0,0,0,2
1504,Aritra Dutta,8,116,8,5,8,109,0,0,0,33
1505,NMS Param,13,344,25,10,10,403,2,0,0,72
1506,Sidhant Singh,9,56,6,1,5,77,0,0,1,14
1507,OJ Hairs,6,105,4,10,6,63,0,0,1,26
1508,Aizaz Khan,42,411,29,9,32,515,0,0,5,44
1509,Simandeep Singh,7,33,2,0,4,30,0,0,0,14
1510,RN ten Doeschate,65,1579,129,44,42,1420,10,3,4,119
1511,JS Kundi,4,9,1,0,4,20,0,0,1,6
1512,NM Odhiambo,16,203,12,4,13,288,1,0,1,54
1513,E Otieno,18,52,2,1,10,103,0,0,5,8
1514,Chirag Suri,6,100,9,2,5,97,0,0,0,44
1515,Junaid Siddique (2),4,5,0,0,3,15,0,0,2,3
1516,Sultan Ahmed (2),6,20,0,2,5,21,0,0,3,11
1517,Zahoor Khan,7,24,3,1,4,43,0,0,3,16
1518,Ahmed Raza,27,241,21,5,21,369,0,0,3,45
1519,JJ Tucker,33,561,59,10,31,711,0,0,3,50
1520,H Carlyon,7,97,7,2,7,124,0,0,1,32
1521,NA Greenwood,6,112,11,0,6,94,0,0,0,43
1522,D Ajekun,6,55,6,1,6,77,0,0,0,17
1523,JO Adedeji,11,126,9,2,8,199,1,0,2,51
1524,Sulaimon Runsewe,10,163,5,0,8,299,0,0,1,44
1525,DC Delany,1,0,0,0,1,1,0,0,1,0
1526,NR Kirton,5,75,4,1,3,81,0,0,1,37
1527,RN Patel,5,138,11,2,4,161,1,0,2,95
1528,D Gim,4,17,0,0,2,34,0,0,1,9
1529,V Baskaran,8,28,1,0,3,37,0,0,3,14
1530,S Vijayakumar,10,59,5,0,8,65,0,0,1,16
1531,Amjad Mahboob,20,88,6,6,14,89,0,0,4,34
1532,AAhan Achar,3,4,0,0,1,4,0,0,1,2
1533,R Gaznavi,16,256,22,8,16,367,1,0,3,96
1534,AR Gandhi,3,86,5,1,2,97,0,0,0,50
1535,T van der Gugten,16,135,7,6,10,96,0,0,2,40
1536,JOA Gordon,7,13,0,0,1,34,0,0,1,4
1537,OO Bascome,3,39,5,0,3,74,0,0,0,17
1538,Avi Dixit,1,12,0,1,0,8,0,0,0,12
1539,SA Wijeratne,14,457,55,2,12,477,4,1,1,112
1540,GDR Eranga,1,1,0,0,0,1,0,0,0,1
1541,U Aryaman Sunil,6,69,6,4,5,72,1,0,1,51
1542,EB Ringera,2,1,0,0,1,3,0,0,1,1
1543,P Kerai,1,0,0,0,1,1,0,0,1,0
1544,Gershon Yusuf,1,0,0,0,1,1,0,0,1,0
1545,Kaleemullah,3,9,0,1,3,7,0,0,2,9
1546,PS Punia,4,100,11,0,3,209,1,0,1,75
1547,Vikramjit Singh,1,15,1,0,1,12,0,0,0,15
1548,Norwira Zazmie,3,20,3,0,3,69,0,0,1,16
1549,Suharril Fetri,25,456,41,0,13,939,2,0,2,64
1550,Muhammad Hafiz,2,11,1,0,0,11,0,0,0,9
1551,JS Henriksen,5,75,11,1,5,156,0,0,2,36
1552,Zameer Khan,14,479,37,0,11,792,3,0,0,97
1553,FA Klokker,23,644,66,8,21,743,4,0,2,86
1554,Saqlain Arshad,5,155,18,6,5,177,1,0,0,97
1555,Khurram Shahzad,5,95,10,2,5,140,0,0,1,44
1556,Gayan Munaweera,5,64,5,2,5,89,0,0,1,28
1557,Mohammed Nadeem,4,13,1,0,1,34,0,0,0,8
1558,A Mutreja,20,685,80,4,20,912,6,1,4,108
1559,J Rasu,14,402,37,15,14,490,2,0,1,95
1560,C Tommy,9,134,12,3,9,157,0,0,0,42
1561,SA Deitz,5,95,8,0,4,192,0,0,1,50
1562,PK Matautaava,16,294,24,17,14,207,2,1,2,103
1563,A Mansale,16,302,24,3,15,538,1,0,3,60
1564,N Nipiko,16,390,23,18,14,450,3,0,3,77
1565,R Tari,14,183,10,5,12,368,0,0,5,35
1566,JW Chilia,10,44,1,1,7,92,0,0,4,19
1567,SH Obed,10,90,10,2,7,120,0,0,2,28
1568,AL Stephen,6,12,1,0,2,25,0,0,2,8
1569,W Nalisa,6,31,3,1,5,66,0,0,2,12
1570,D Mogan,3,18,2,0,3,18,0,0,0,8
1571,Nazril Rahman,8,142,11,2,5,167,1,0,0,52
1572,Dharmang Patel,5,66,9,0,3,91,0,0,1,37
1573,Musawar Shah,2,0,0,0,1,8,0,0,2,0
1574,J Vira,7,48,5,1,5,46,0,0,2,19
1575,ZK Shem,1,0,0,0,1,1,0,0,1,0
1576,Owais Ahmed,1,0,0,0,1,3,0,0,1,0
1577,Rashid Ahad,1,0,0,0,1,1,0,0,1,0
1578,C Pervez,5,30,2,1,4,32,0,0,1,19
1579,Tariq Aziz,3,27,1,1,3,36,0,0,1,23
1580,Zohaib Sarwar,3,33,0,4,2,25,0,0,2,33
1581,Aamer Ikram,3,53,3,4,3,69,0,0,0,23
1582,Arslan Ahmed,2,11,1,0,2,29,0,0,1,11
1583,Mian Mehmood,3,16,1,0,2,20,0,0,1,10
1584,P Buccimazza,2,2,0,0,2,12,0,0,0,1
1585,Najjam Shahzad,2,73,4,4,1,60,0,0,0,46
1586,F Stoman,3,36,1,1,2,47,0,0,0,21
1587,Imran Khan (4),2,37,2,3,1,27,0,0,0,36
1588,Farzan Afzal,5,134,10,6,3,129,1,0,0,59
1589,PD Hennessy,4,73,4,2,4,79,0,0,0,38
1590,Yasir Ali,4,96,5,4,2,89,0,0,0,42
1591,R Panchal,4,56,1,2,2,73,0,0,0,24
1592,BA Pai,3,89,3,1,3,96,1,0,0,52
1593,CJ Delany,3,36,2,0,2,56,0,0,1,21
1594,E Packard,3,38,2,1,3,43,0,0,0,26
1595,MO Bacarese,4,44,2,1,4,70,0,0,0,13
1596,JD Freyone,4,11,0,0,4,39,0,0,1,4
1597,MG Hunter,2,28,1,1,2,42,0,0,0,27
1598,K Nestor,3,17,1,0,1,25,0,0,0,13
1599,LA Collado,2,11,0,0,1,20,0,0,0,8
1600,N Advani,1,2,0,0,1,3,0,0,0,2
1601,JA Fitzgerald,1,11,0,1,0,6,0,0,0,11
1602,MD Garratt,1,1,0,0,1,4,0,0,0,1
1603,A Orfila,1,0,0,0,1,1,0,0,1,0
1604,C Munoz-Mills,3,37,3,2,3,39,0,0,0,29
1605,Atif Mehmood,1,5,0,0,0,9,0,0,0,5
1606,Kuldeep Lal,1,2,0,0,1,3,0,0,0,2
1607,Awais Ahmed,2,13,0,0,1,16,0,0,1,13
1608,Tauqeer Hussain,1,3,0,0,0,3,0,0,0,3
1609,S Singh,1,0,0,0,0,9,0,0,1,0
1610,Kushal Malla,2,7,1,0,2,14,0,0,0,5
1611,BB Chari,16,290,26,3,16,675,1,0,2,88
1612,T Munyonga,2,45,3,1,1,35,0,0,0,44
1613,Mohamed Arief,5,159,18,4,4,115,1,0,0,52
1614,Zubaidi Zulkifle,4,31,2,2,4,27,0,0,1,22
1615,Muhammad Wafiq,5,26,3,0,4,31,0,0,1,13
1616,Ainool Haqqiem,2,20,1,0,1,20,0,0,0,12
1617,W Viraliliu,2,5,0,0,1,5,0,0,0,4
1618,Ainool Hafizs,4,75,7,1,4,85,0,0,0,34
1619,Syazrul Idrus,1,9,1,0,0,8,0,0,0,9
1620,T Langa,5,65,6,0,4,96,0,0,0,32
1621,A Bosch,2,22,2,0,2,34,0,0,0,11
1622,Shamima Sultana,4,15,1,0,2,29,0,0,0,7
1623,Rumana Ahmed,35,549,58,2,25,756,0,0,5,50
1624,Lata Mondal,22,182,11,0,17,305,0,0,5,34
1625,BM Duckett,24,749,92,10,21,706,5,0,1,84
1626,RA Reifer,1,7,0,0,1,11,0,0,0,7
1627,JJ Atkinson,36,798,64,33,35,819,3,0,4,74
1628,Anshuman Rath,32,958,88,10,28,1077,4,2,1,186
1629,Babar Hayat,51,1749,162,42,44,2119,12,3,6,204
1630,Tanwir Afzal,38,500,37,26,32,521,2,1,8,109
1631,J Subramanyan,1,6,0,0,0,16,0,0,0,6
1632,H Patel,32,535,57,10,28,570,1,0,7,54
1633,R Gunasekera,36,709,65,19,36,923,6,0,6,72
1634,BS Adhihetty,1,1,0,0,1,2,0,0,0,1
1635,Ali Khan,2,3,0,0,2,11,0,0,1,3
1636,Fatima Sana,1,1,0,0,1,9,0,0,0,1
1637,Aiman Anwer,6,17,1,0,5,26,0,0,0,6
1638,O Mondlane,3,0,0,0,3,7,0,0,3,0
1639,R Haiong,3,8,0,0,2,31,0,0,0,4
1640,M Matine,3,13,1,0,2,28,0,0,0,9
1641,C Murrombe,2,18,2,0,2,58,0,0,0,15
1642,P Cuinica,3,54,4,0,2,70,0,0,1,48
1643,F Guirrugo,3,10,1,0,2,36,0,0,1,7
1644,J Sainda,1,0,0,0,1,24,0,0,1,0
1645,C Magaia,3,63,5,0,1,58,0,0,0,38
1646,I Chuma,2,0,0,0,2,2,0,0,2,0
1647,O Matsolo,1,1,0,0,0,9,0,0,0,1
1648,M Mwangi,1,10,2,0,1,16,0,0,0,10
1649,V Abuga,2,32,2,1,2,46,0,0,0,27
1650,S Juma,2,16,2,0,2,20,0,0,0,8
1651,SW Kinyua,2,40,1,0,2,69,0,0,1,40
1652,M Ngoche,2,17,0,0,2,21,0,0,0,9
1653,E Wachira,2,4,0,0,1,7,0,0,1,4
1654,V Ooko,2,0,0,0,2,2,0,0,2,0
1655,M Ochieng,2,12,1,0,2,30,0,0,1,12
1656,D Njoroge,2,25,1,0,0,26,0,0,0,18
1657,M Ndhambi,1,1,0,0,1,3,0,0,0,1
1658,E Waithaka,1,0,0,0,1,1,0,0,1,0
1659,R Ntono,3,25,2,0,3,39,0,0,0,16
1660,NK Bagenda,3,52,4,0,3,62,0,0,1,34
1661,F Najjumba,2,35,3,0,1,30,0,0,0,26
1662,M King,1,8,1,0,1,17,0,0,0,8
1663,M Sankoh,2,14,1,0,2,39,0,0,0,8
1664,Aminata Kamara,2,11,1,0,1,19,0,0,1,11
1665,L Bull,2,15,1,0,1,38,0,0,0,12
1666,Adama Kamara,2,9,0,0,2,38,0,0,0,7
1667,AM Kamara,2,12,1,0,2,23,0,0,0,10
1668,Z Kamara,2,7,1,0,1,14,0,0,0,6
1669,I Koroma,2,17,3,0,2,16,0,0,0,12
1670,J Kowa,2,0,0,0,2,2,0,0,2,0
1671,M Sheriff,2,8,1,0,2,7,0,0,0,6
1672,F Bangur,1,0,0,0,0,1,0,0,1,0
1673,E Moiane,2,48,4,2,2,33,0,0,1,48
1674,A Salomao,1,8,0,0,0,10,0,0,0,8
1675,A Igbobie,1,13,1,0,1,28,0,0,0,13
1676,J Mbabazi,2,9,0,0,2,25,0,0,1,9
1677,C Aweko,1,4,0,0,0,8,0,0,0,4
1678,K Awino,1,2,0,0,1,2,0,0,0,2
1679,HM Omary,2,7,0,0,2,24,0,0,0,4
1680,GL Mushi,2,22,3,0,0,41,0,0,0,16
1681,ZK Finkili,1,8,0,0,0,23,0,0,0,8
1682,N Squire,1,0,0,0,0,11,0,0,1,0
1683,A Chilia,2,26,4,0,2,33,0,0,0,13
1684,V Langiatu,3,40,7,0,3,34,0,0,1,35
1685,R Andrew,3,60,2,0,1,103,0,0,0,31
1686,S Solman,3,23,1,0,2,31,0,0,2,23
1687,N Navaika,2,11,0,0,1,27,0,0,0,7
1688,L Tastuki,2,28,2,0,2,34,0,0,0,25
1689,JC Sokomanu,2,3,0,0,2,10,0,0,0,2
1690,M Carlot,1,2,0,0,1,5,0,0,0,2
1691,MV Fare,2,10,1,0,1,14,0,0,0,9
1692,M Tarimiala,2,5,0,0,0,11,0,0,0,3
1693,V Mansale,1,0,0,0,1,1,0,0,1,0
1694,Eri Iko,3,31,2,0,3,46,0,0,0,22
1695,Y Anggraeni,3,76,11,0,3,81,0,0,0,40
1696,K Winda Prastini,3,36,2,0,3,77,0,0,0,25
1697,T Wigradianti,2,7,1,0,2,11,0,0,0,4
1698,NPAN Sakarini,3,56,3,0,0,66,0,0,0,30
1699,Yuliana,2,4,0,0,1,9,0,0,1,4
1700,P Haryanti,1,0,0,0,1,1,0,0,1,0
1701,NKF Rada Rani,1,2,0,0,1,7,0,0,0,2
1702,NMP Suwandewi,1,11,0,0,1,24,0,0,0,11
1703,M Vuruna,2,19,1,0,2,30,0,0,0,14
1704,I Waqavakatoga,3,6,0,0,3,18,0,0,0,3
1705,S Lomani,3,36,4,0,3,61,0,0,0,27
1706,M Vua,3,12,1,0,2,31,0,0,0,5
1707,R Muriyalo,3,29,3,0,3,33,0,0,0,20
1708,W Ofamoli,3,14,1,0,3,33,0,0,0,12
1709,S Lote,2,2,0,0,2,7,0,0,1,2
1710,L Samani,3,2,0,0,3,13,0,0,2,2
1711,M Tilau,3,3,0,0,3,15,0,0,2,3
1712,A Tagilala,3,28,2,0,2,45,0,0,1,27
1713,L Vua,2,1,0,0,1,4,0,0,1,1
1714,V Tari,1,3,0,0,1,13,0,0,0,3
1715,M Mete,1,0,0,0,1,1,0,0,1,0
1716,RSM Lili'i,2,41,3,0,1,69,0,0,0,37
1717,LA Bourne,2,4,0,0,2,15,0,0,0,3
1718,LS Mulivai,2,21,0,0,2,50,0,0,0,13
1719,FLV Pula,2,25,3,0,1,46,0,0,0,23
1720,K Taniguchi,1,3,0,0,1,17,0,0,0,3
1721,K Nanno,1,5,0,0,0,20,0,0,0,5
1722,L Rika,2,6,0,0,0,8,0,0,1,6
1723,AAIP Bastari,1,26,3,0,0,28,0,0,0,26
1724,LO Telea,1,3,0,0,1,6,0,0,0,3
1725,KML Nonu,1,13,1,0,0,16,0,0,0,13
1726,T Iosefo,1,2,0,0,1,3,0,0,0,2
1727,T Lafai,1,14,2,0,0,12,0,0,0,14
1728,Mohammad Rizwan,46,842,65,14,34,866,3,0,1,75
1729,Mohammad Naim,3,143,17,3,3,105,1,0,0,81
1730,L Gregory,14,217,17,5,11,164,0,0,1,37
1731,S Mahmood,2,7,1,0,1,6,0,0,0,4
1732,PR Brown,1,4,0,0,0,9,0,0,0,4
1733,T Banton,3,56,6,3,3,32,0,0,0,31
1734,Naveen-ul-Haq,5,16,2,0,2,26,0,0,1,8
1735,Mehran Khan,15,143,10,5,12,117,0,0,2,29
1736,B Shikongo,1,0,0,0,1,1,0,0,1,0
1737,AA Alleyne,4,27,2,0,3,58,0,0,0,16
1738,Kamran Akmal,201,4962,548,123,175,5277,29,5,22,158
1739,DJG Sammy,241,4410,383,194,179,4485,20,2,18,131
1740,Sharjeel Khan,42,1217,159,42,42,1007,7,1,2,152
1741,RR Rossouw,71,2074,191,58,61,1950,14,3,8,132
1742,Mohammad Nawaz (3),23,340,25,8,17,450,1,0,2,53
1743,Hasan Khan,4,26,1,1,3,24,0,0,0,16
1744,Anwar Ali,39,553,45,18,27,515,0,0,1,46
1745,GD Elliott,93,2249,169,30,75,2896,12,2,8,115
1746,Sohail Tanvir,77,774,72,23,51,747,1,0,4,59
1747,Bilawal Bhatti,14,184,21,4,12,241,1,0,2,56
1748,Mohammad Irfan (4),8,21,1,1,3,24,0,0,4,16
1749,Mohammad Sami,18,136,12,1,13,254,0,0,2,46
1750,Shahzaib Hasan,15,235,29,5,15,254,0,0,4,50
1751,KC Sangakkara,458,20177,2052,173,407,27149,153,47,19,424
1752,RS Bopara,212,5057,406,84,163,6005,25,4,9,143
1753,Sohail Khan,23,307,36,10,18,404,1,0,3,75
1754,Sohaib Maqsood,56,1195,92,36,48,1266,5,0,6,89
1755,Usama Mir,3,14,2,0,2,13,0,0,0,9
1756,Imran Khalid,1,1,0,0,0,1,0,0,0,1
1757,CS Delport,15,308,21,18,12,211,1,0,0,68
1758,Saad Nasim,13,226,18,5,11,233,1,0,1,77
1759,Junaid Khan,45,190,18,3,26,408,0,0,12,25
1760,Rafatullah Mohmand,6,85,6,4,6,79,0,0,1,23
1761,Amad Butt,4,38,3,1,2,38,0,0,0,17
1762,Aamer Yamin,6,90,7,6,4,100,1,0,1,62
1763,Ghulam Mudassar,1,1,0,0,0,1,0,0,0,1
1764,Hussain Talat,12,268,20,11,7,202,1,0,0,56
1765,DPMD Jayawardene,427,15394,1583,159,361,20505,113,27,16,275
1766,Zulfiqar Babar,23,207,19,6,11,266,1,0,3,56
1767,Umar Gul,121,1112,92,47,90,1583,1,0,22,74
1768,Usman Khan,2,2,0,0,1,4,0,0,1,2
1769,Rumman Raees,2,11,2,0,1,13,0,0,1,11
1770,Mohammad Irfan,42,88,10,2,17,246,0,0,19,14
1771,Khushdil Shah,4,21,1,0,4,31,0,0,0,8
1772,MN van Wyk,28,801,84,19,25,886,7,1,3,114
1773,SM Ervine,12,151,12,4,12,121,1,0,3,56
1774,RR Emrit,3,19,1,0,1,43,0,0,1,13
1775,Hammad Azam,12,116,8,3,9,161,0,0,1,36
1776,Khurram Manzoor,31,1155,134,3,30,2260,10,2,3,150
1777,Umar Amin,31,541,62,3,28,745,1,0,2,59
1778,Hassan Khan,6,42,0,2,2,29,0,0,2,17
1779,Sohail Akhtar,8,122,9,7,4,97,0,0,0,30
1780,Raza Hasan,5,22,2,0,3,38,0,0,2,13
1781,SR Patel,54,1021,87,21,45,1195,3,0,4,70
1782,Gulraiz Sadaf,5,110,8,3,3,120,0,0,0,42
1783,Saif Badar,4,21,1,1,4,20,0,0,2,13
1784,Sahibzada Farhan,5,91,7,4,4,78,0,0,0,44
1785,Ibtisam Sheikh,1,2,0,0,0,6,0,0,0,2
1786,Umaid Asif,4,39,2,3,4,26,0,0,1,25
1787,Mohammad Asghar,1,0,0,0,0,3,0,0,1,0
1788,D Ramdin,195,4684,470,45,161,7206,29,6,8,169
1789,Agha Salman,8,166,13,5,8,151,0,0,0,50
1790,Khalid Usman,1,7,0,0,0,9,0,0,0,7
1791,Salman Irshad,3,8,0,1,3,4,0,0,0,6
1792,Rameez Raja (2),7,64,4,2,6,57,0,0,0,23
1793,ADS Fletcher,59,967,83,37,54,1086,7,0,8,84
1794,MH Wessels,25,693,72,20,21,534,3,0,0,80
1795,RA Whiteley,15,253,13,16,13,181,0,0,1,42
1796,D Wiese,27,352,27,13,16,294,0,0,1,47
1797,Zafar Gohar,2,18,0,1,2,20,0,0,0,15
1798,Sameen Gul,2,3,0,0,0,6,0,0,0,2
1799,T Kohler-Cadmore,14,328,34,15,14,216,2,1,2,127
1800,Mir Hamza,1,0,0,0,0,1,0,0,1,0
1801,Mukhtar Ahmed,7,193,23,5,7,138,2,0,0,83
1802,Aminul Islam Biplob,2,14,2,0,1,14,0,0,0,9
1803,Abu Jayed,1,11,1,0,0,23,0,0,0,11
1804,Ebadat Hossain,1,3,0,0,1,6,0,0,0,3
1805,BM Tickner,1,5,0,0,0,6,0,0,0,5
1806,H Silver-holmes,2,0,0,0,2,2,0,0,2,0
1807,M Darke,4,17,1,0,3,22,0,0,1,13
1808,NE Stalenberg,7,105,18,1,7,88,0,0,0,30
1809,P Litchfield,7,144,16,0,5,147,1,0,0,52
1810,HJ Darlington,7,66,6,0,5,62,0,0,0,23
1811,RM Farrell,17,161,16,1,10,204,0,0,2,39
1812,L Griffith,5,29,3,0,2,28,0,0,0,11
1813,SL Bates,3,5,0,0,0,7,0,0,1,4
1814,CJ Koski,4,26,2,0,3,25,0,0,0,13
1815,C Webb,7,152,11,2,5,162,0,0,0,34
1816,JE Cameron,44,1121,116,26,34,1229,6,0,4,81
1817,JE Dooley,7,66,6,0,3,63,0,0,1,20
1818,M Brown,5,19,2,0,4,17,0,0,1,10
1819,TM McGrath,9,160,20,3,8,135,1,0,2,65
1820,BE Patterson,9,233,23,5,7,182,2,0,0,60
1821,KM Mack,5,26,2,0,2,27,0,0,0,10
1822,S Daffara,4,14,2,0,4,22,0,0,1,7
1823,EG Fazackerley,8,133,17,3,8,102,0,0,0,46
