,Bowler,clus,_c0,Matches,Runs,4,6,Wickets,Overs,balls,ave,econ,sr
431,DJM Short,0,431,29,517,29,23,18,62.4,376.0,28.72222222222222,8.28525641025641,20.88888888888889
432,BB Sran,0,432,32,1008,102,33,34,144.2,866.0,29.647058823529413,6.990291262135923,25.470588235294116
433,V Shankar,0,433,11,159,16,6,5,20.1,121.0,31.8,7.910447761194029,24.2
434,N Rana,2,434,11,105,11,3,5,13.0,78.0,21.0,8.076923076923077,15.6
435,JC Archer,0,435,73,2540,276,63,125,503.5,3023.0,20.32,5.044687189672294,24.184
436,MK Tiwary,0,436,12,220,10,15,6,29.2,176.0,36.666666666666664,7.534246575342466,29.333333333333332
437,MK Lomror,2,437,2,27,3,0,0,2.1,13.0,0.0,12.857142857142856,0.0
438,M Ashwin,0,438,22,531,40,20,15,68.4,412.0,35.4,7.763157894736842,27.466666666666665
439,L Ngidi,2,439,15,482,58,12,26,85.4,514.0,18.53846153846154,5.644028103044496,19.76923076923077
440,KM Asif,2,440,2,73,7,6,3,3.5,23.0,24.333333333333332,20.857142857142858,7.666666666666667
441,MP Stoinis,0,441,67,1535,131,52,61,203.0,1218.0,25.16393442622951,7.561576354679803,19.9672131147541
442,M Prasidh Krishna,0,442,18,625,78,20,17,69.3,417.0,36.76470588235294,9.018759018759019,24.529411764705884
443,Ankit Sharma,0,443,21,436,28,18,12,61.4,370.0,36.333333333333336,7.100977198697069,30.833333333333332
444,JPR Scantlebury-Searles,0,444,3,86,4,7,2,4.1,25.0,43.0,20.975609756097562,12.5
445,S Lamichhane,2,445,33,874,64,42,51,134.1,805.0,17.137254901960784,6.517524235645041,15.784313725490197
446,CJ Dala,1,446,1,33,3,2,0,0.4,4.0,0.0,82.5,0.0
447,KK Ahmed,2,447,18,570,63,24,27,72.4,436.0,21.11111111111111,7.87292817679558,16.14814814814815
448,NA Saini,0,448,18,520,60,23,18,64.0,384.0,28.88888888888889,8.125,21.333333333333332
449,S Dube,2,449,5,57,5,1,3,8.3,51.0,19.0,6.8674698795180715,17.0
450,Rasikh Salam,2,450,1,39,3,2,0,1.1,7.0,0.0,35.45454545454545,0.0
451,KMA Paul,2,451,15,434,31,18,20,60.3,363.0,21.7,7.1973466003316755,18.15
452,SM Curran,0,452,30,848,88,25,35,126.2,758.0,24.228571428571428,6.7194928684627575,21.65714285714286
453,CV Varun,1,453,1,35,3,3,1,0.3,3.0,35.0,116.66666666666667,3.0
454,GC Viljoen,0,454,9,368,48,8,12,48.5,293.0,30.666666666666668,7.587628865979381,24.416666666666668
455,Mandeep Singh,2,455,2,26,1,2,0,1.1,7.0,0.0,23.636363636363633,0.0
456,P Ray Barman,1,456,1,56,3,4,0,0.4,4.0,0.0,140.0,0.0
457,GH Vihari,3,457,9,92,10,1,1,18.4,112.0,92.0,5.0,112.0
458,JP Behrendorff,2,458,52,1429,152,36,68,226.2,1358.0,21.014705882352942,6.317418213969939,19.970588235294116
459,RD Chahar,0,459,16,384,24,22,16,56.5,341.0,24.0,6.79646017699115,21.3125
460,HF Gurney,0,460,40,1244,120,29,51,192.4,1156.0,24.392156862745097,6.465696465696466,22.666666666666668
461,S Midhun,1,461,1,26,2,2,0,0.3,3.0,0.0,86.66666666666667,0.0
462,R Parag,0,462,7,121,8,4,2,11.3,69.0,60.5,10.70796460176991,34.5
463,SN Khan,2,463,1,6,1,0,0,0.2,2.0,0.0,30.0,0.0
464,LS Livingstone,2,464,2,22,0,2,1,2.1,13.0,22.0,10.476190476190476,13.0
465,Abhishek Sharma,2,465,2,20,1,1,1,1.2,8.0,20.0,16.666666666666668,8.0
466,Arshdeep Singh,0,466,3,104,12,4,3,7.3,45.0,34.666666666666664,14.246575342465754,15.0
467,DW Steyn,0,467,320,15106,1858,163,719,3916.5,23501.0,21.009735744089014,3.8570151921358358,32.68567454798331
468,CJ Green,0,468,39,858,46,36,32,121.0,726.0,26.8125,7.090909090909091,22.6875
469,AL Fekete,0,469,12,349,39,16,10,32.5,197.0,34.9,10.738461538461538,19.7
470,Fawad Ahmed,0,470,50,1328,79,43,53,189.3,1137.0,25.056603773584907,7.015319598520866,21.452830188679247
471,AJ Nair,2,471,14,275,10,12,12,35.1,211.0,22.916666666666668,7.834757834757834,17.583333333333332
472,DR Sams,2,472,19,482,52,16,25,57.1,343.0,19.28,8.441330998248686,13.72
473,SM Boland,0,473,48,1740,169,49,62,248.3,1491.0,28.06451612903226,7.007652033830044,24.048387096774192
474,EP Gulbis,0,474,28,484,52,10,12,58.2,350.0,40.333333333333336,8.31615120274914,29.166666666666668
475,MT Steketee,2,475,34,965,86,40,40,119.5,719.0,24.125,8.07531380753138,17.975
