Bowler,id
DL Piedt,1051
S Muthusamy,1052
D Elgar,1053
RG Sharma,1054
GF Linde,1055
F Song,1056
M Yousaf,1057
CN Ackermann,1058
KD Shah,1059
K Christie,1060
Nasrulla Rana,1061
Mohammad Ghazanfar,1062
Ehsan Khan,1063
Waqas Barkat,1064
Raag Kapur,1065
Haroon Arshad,1066
Nizakat Khan,1067
T van der Gugten,1068
S Bhari,1069
N Mlaba,1070
P Vastrakar,1071
RP Yadav,1072
AA Patil,1073
A Reddy,1074
A Bosch,1075
Iftikhar Ahmed,1076
Mohammad Nawaz (3),1077
K Birkenstock,1078
R Hekure,1079
TH David,1080
Sidhant Singh,1081
DC Delany,1082
Aizaz Khan,1083
JS Kundi,1084
Junaid Siddique (2),1085
JJ Tucker,1086
AS Abioye,1087
D Ajekun,1088
JO Adedeji,1089
RR Patel,1090
JOA Gordon,1091
Imran Haider,1092
D Gim,1093
AAhan Achar,1094
H Carlyon,1095
Sulaimon Runsewe,1096
NMS Param,1097
NA Greenwood,1098
Avi Dixit,1099
U Aryaman Sunil,1100
EB Ringera,1101
JI Rodrigues,1102
JS Henriksen,1103
Muhammad Hafiz,1104
Suharril Fetri,1105
Norwira Zazmie,1106
Khurram Shahzad,1107
Saqlain Arshad,1108
C Pervez,1109
PK Matautaava,1110
AL Stephen,1111
N Nipiko,1112
JW Chilia,1113
W Nalisa,1114
SH Obed,1115
D Mogan,1116
A Mansale,1117
Zaheer Ibrahim,1118
Kamran Khan (2),1119
ZK Shem,1120
Mohammad Rizlan,1121
Owais Ahmed,1122
Lucky Ali,1123
Abraash Khan,1124
Raja Adeel,1125
R Panchal,1126
Farzan Afzal,1127
Kuldeep Lal,1128
TC Vine,1129
Atif Mehmood,1130
Yasir Ali,1131
Fakhrul Mohon,1132
Ali Naqi,1133
Tariq Aziz,1134
P Buccimazza,1135
Zohaib Sarwar,1136
Najjam Shahzad,1137
Imran Khan (4),1138
MO Bacarese,1139
MG Hunter,1140
E Packard,1141
BA Pai,1142
RJ Hatchman,1143
J Perman,1144
