Batsmen,Matches,Runs,Wickets,Balls,0,4,6,Strike Rate,Average,50,100,High Score
WD Sheridan,8,66,4,68,1,4,0,97.05882352941177,16.5,0,0,15
MJ Cosgrove,22,458,21,384,2,49,12,119.27083333333333,21.80952380952381,4,0,74
JM Bird,21,72,9,183,3,2,1,39.34426229508197,8.0,0,0,19
Sachin Baby,10,137,8,106,1,11,5,129.24528301886792,17.125,0,0,33
AF Milne,25,196,14,205,3,12,4,95.60975609756098,14.0,0,0,36
KD Karthik,235,5126,186,4932,14,515,118,103.93349553933496,27.559139784946236,25,0,97
IK Pathan,149,2353,97,2548,9,201,64,92.34693877551021,24.257731958762886,5,0,74
AJ Tye,34,255,23,229,7,19,11,111.353711790393,11.08695652173913,0,0,42
Basil Thampi,7,32,2,37,1,1,1,86.48648648648648,16.0,0,0,13
Ankit Soni,3,7,2,9,2,0,1,77.77777777777777,3.5,0,0,7
KH Pandya,49,901,34,654,2,83,36,137.76758409785933,26.5,1,0,86
MJ McClenaghan,47,226,25,251,13,18,11,90.0398406374502,9.04,0,0,34
JJ Bumrah,16,41,6,71,7,2,1,57.74647887323944,6.833333333333333,0,0,16
SL Malinga,139,728,95,979,38,61,28,74.36159346271705,7.663157894736842,2,0,64
SW Billings,71,1286,61,1089,8,118,30,118.08999081726354,21.081967213114755,8,0,78
K Rabada,51,528,32,848,10,59,8,62.264150943396224,16.5,0,0,44
A Mishra,83,1053,53,1605,12,112,8,65.60747663551402,19.867924528301888,4,1,127
Mohammed Shami,64,412,37,556,15,37,18,74.10071942446044,11.135135135135135,1,0,55
S Nadeem,18,33,13,84,6,1,0,39.285714285714285,2.5384615384615383,0,0,6
HM Amla,296,15748,256,23224,7,1769,98,67.80916293489494,61.515625,122,55,311
SR Watson,439,15338,384,17427,25,1588,495,88.01285361794916,39.942708333333336,113,25,213
DR Smith,197,4520,180,3894,22,454,215,116.07601438109913,25.11111111111111,29,0,97
PJ Sangwan,13,24,7,41,5,1,0,58.53658536585366,3.4285714285714284,0,0,6
EC Joyce,80,2535,70,3611,4,242,27,70.20216006646358,36.214285714285715,17,4,160
PR Stirling,142,4222,135,4126,13,498,108,102.32670867668445,31.274074074074075,33,3,130
WTS Porterfield,150,3796,137,4998,11,398,52,75.95038015206083,27.708029197080293,23,6,127
A Balbirnie,62,1710,54,2043,4,179,22,83.70044052863436,31.666666666666668,10,2,135
NJ O'Brien,94,2217,83,3130,2,172,32,70.83067092651757,26.710843373493976,11,1,109
