Bowler,Matches,Overs,Runs,4,6,Wickets,Economy,Average,Strike Rate
Shaila Sharmin,14,36.3,162,10,0,8,4.5,20.25,27.375
J Post,1,0.2,11,1,0,0,5.5,11.0,2.0
Nayeem Hasan,1,5.0,104,13,1,4,20.8,26.0,7.5
Mominul Haque,26,95.4,418,27,9,9,4.4,46.44444444444444,63.77777777777778
Zahir Khan,3,34.4,190,20,1,15,5.588235294117647,12.666666666666666,13.866666666666667
N Madziva,27,139.0,874,93,19,35,6.287769784172662,24.97142857142857,23.82857142857143
Fareed Ahmad,16,64.5,415,44,11,28,6.484375,14.821428571428571,13.892857142857142
CT Mutombodzi,16,72.4,425,26,15,15,5.902777777777778,28.333333333333332,29.066666666666666
Aminul Islam Biplob,4,10.5,97,5,4,7,9.7,13.857142857142858,9.285714285714286
Fazal Niazai,1,0.2,12,2,0,0,6.0,12.0,2.0
Afif Hossain,4,5.5,51,1,5,4,10.2,12.75,8.75
Naveen-ul-Haq,9,50.5,296,28,4,17,5.92,17.41176470588235,17.941176470588236
Seungmin Song,3,11.0,32,1,0,6,2.909090909090909,5.333333333333333,11.0
Seri Chang,2,6.1,38,2,0,2,6.333333333333333,19.0,18.5
Jiyeon Park,2,5.2,32,2,0,3,6.4,10.666666666666666,10.666666666666666
Mina Baek,2,5.1,42,3,0,3,8.4,14.0,10.333333333333334
Haliam Kwon,2,5.0,35,3,0,0,7.0,35.0,30.0
Hyejin Park,2,2.4,12,1,0,2,6.0,6.0,8.0
N Tokizawa,6,17.5,69,7,0,6,4.0588235294117645,11.5,17.833333333333332
M Kanno,6,15.3,74,8,0,4,4.933333333333334,18.5,23.25
R Kanai,3,7.1,30,1,0,2,4.285714285714286,15.0,21.5
R Endo,5,9.5,55,7,0,5,6.111111111111111,11.0,11.8
S Miyaji,9,29.4,141,12,0,5,4.862068965517241,28.2,35.6
Kiyo Fujikawa,1,1.0,6,0,0,0,6.0,6.0,6.0
M Yanagida,8,27.4,94,6,0,12,3.4814814814814814,7.833333333333333,13.833333333333334
Wang Meng,9,26.0,91,8,0,3,3.5,30.333333333333332,52.0
Wu Juan,9,28.4,124,5,0,9,4.428571428571429,13.777777777777779,19.11111111111111
L Jie,6,20.3,84,3,0,6,4.2,14.0,20.5
LI Haoye,3,10.1,46,3,0,3,4.6,15.333333333333334,20.333333333333332
Han Lili,5,13.4,57,3,0,7,4.384615384615385,8.142857142857142,11.714285714285714
M Wai Siu,3,7.0,35,4,0,3,5.0,11.666666666666666,14.0
M Hill,4,10.3,73,7,0,4,7.3,18.25,15.75
KY Chan,5,10.4,47,5,0,9,4.7,5.222222222222222,7.111111111111111
Chan Ka Man,5,14.3,66,6,0,7,4.714285714285714,9.428571428571429,12.428571428571429
YS To,3,9.3,52,0,0,2,5.777777777777778,26.0,28.5
Ruchitha Venkatesh,3,5.4,38,4,0,0,7.6,38.0,34.0
K Nanno,3,5.0,25,0,1,1,5.0,25.0,30.0
A Kanada,1,0.3,6,0,0,3,2.0,2.0,1.0
H Dhavina,2,4.4,43,5,0,1,10.75,43.0,28.0
SK Sonpethkar,1,1.3,27,2,0,1,27.0,27.0,9.0
J Intan,3,7.4,31,3,0,2,4.428571428571429,15.5,23.0
Nik Nur Atiela,1,0.2,8,1,0,2,4.0,4.0,1.0
NJ Carey,14,62.1,329,30,5,16,5.306451612903226,20.5625,23.3125
SS Grimmond,8,16.4,112,13,0,3,7.0,37.333333333333336,33.333333333333336
S Gajnabi,4,11.0,85,10,0,2,7.7272727272727275,42.5,33.0
C Floyd,2,2.3,51,5,3,1,25.5,51.0,15.0
S Snater,8,24.5,171,12,8,5,7.125,34.2,29.8
BFW de Leede,1,0.2,14,3,0,0,7.0,14.0,2.0
A Nao,6,27.5,211,21,7,3,7.814814814814815,70.33333333333333,55.666666666666664
J Kila,10,31.1,177,15,5,8,5.709677419354839,22.125,23.375
J Theron,24,106.1,750,68,17,42,7.0754716981132075,17.857142857142858,15.166666666666666
EH Hutchinson,19,95.3,402,44,6,16,4.231578947368421,25.125,35.8125
BTJ Wheal,16,79.5,532,68,9,23,6.734177215189874,23.130434782608695,20.82608695652174
Umaima Sohail,3,8.2,45,5,0,1,5.625,45.0,50.0
M Short,4,13.5,41,2,0,5,3.1538461538461537,8.2,16.6
BMSM Kumari,20,88.4,498,52,3,12,5.659090909090909,41.5,44.333333333333336
EA Burns,9,21.1,132,9,5,9,6.285714285714286,14.666666666666666,14.11111111111111
SIP Fernando,12,66.2,240,26,2,11,3.6363636363636362,21.818181818181817,36.18181818181818
WGAKK Kulasuriya,5,31.4,206,27,1,5,6.645161290322581,41.2,38.0
H Graham,10,28.5,234,24,5,11,8.357142857142858,21.272727272727273,15.727272727272727
DL Piedt,8,274.1,1174,104,41,26,4.2846715328467155,45.15384615384615,63.26923076923077
S Muthusamy,2,23.4,173,18,4,2,7.521739130434782,86.5,71.0
D Elgar,28,171.2,649,56,9,16,3.7953216374269005,40.5625,64.25
RG Sharma,86,227.1,1264,78,28,29,5.568281938325991,43.58620689655172,47.0
GF Linde,1,5.1,133,9,5,4,26.6,33.25,7.75
F Song,5,12.4,54,3,0,10,4.5,5.4,7.6
M Yousaf,1,1.0,12,1,0,0,12.0,12.0,6.0
CN Ackermann,10,23.5,144,13,4,5,6.260869565217392,28.8,28.6
KD Shah,10,29.4,226,28,5,6,7.793103448275862,37.666666666666664,29.666666666666668
K Christie,11,35.3,279,31,7,10,7.9714285714285715,27.9,21.3
Nasrulla Rana,7,16.1,122,17,2,8,7.625,15.25,12.125
Mohammad Ghazanfar,6,15.2,110,5,6,4,7.333333333333333,27.5,23.0
Ehsan Khan,26,165.4,773,65,18,37,4.684848484848485,20.89189189189189,26.864864864864863
Waqas Barkat,16,37.0,257,18,9,6,6.945945945945946,42.833333333333336,37.0
Raag Kapur,3,5.3,48,6,0,2,9.6,24.0,16.5
Haroon Arshad,7,10.0,101,11,2,2,10.1,50.5,30.0
Nizakat Khan,19,69.1,322,18,10,17,4.666666666666667,18.941176470588236,24.41176470588235
T van der Gugten,58,213.5,1235,136,28,83,5.7981220657277,14.879518072289157,15.457831325301205
S Bhari,3,5.3,48,3,2,1,9.6,48.0,33.0
N Mlaba,3,5.0,58,7,2,0,11.6,58.0,30.0
P Vastrakar,6,13.1,73,7,1,4,5.615384615384615,18.25,19.75
RP Yadav,7,22.4,106,10,3,13,4.818181818181818,8.153846153846153,10.461538461538462
AA Patil,15,47.4,253,20,3,15,5.382978723404255,16.866666666666667,19.066666666666666
A Reddy,1,0.5,27,3,0,1,5.4,27.0,5.0
A Bosch,4,7.3,49,5,0,2,7.0,24.5,22.5
Iftikhar Ahmed,7,27.2,127,7,3,4,4.703703703703703,31.75,41.0
Mohammad Nawaz (3),39,219.4,1088,75,46,42,4.968036529680365,25.904761904761905,31.38095238095238
K Birkenstock,1,0.1,5,0,0,1,5.0,5.0,1.0
R Hekure,7,6.4,68,2,2,4,11.333333333333334,17.0,10.0
TH David,10,29.2,221,19,7,8,7.620689655172414,27.625,22.0
Sidhant Singh,11,47.3,304,25,8,8,6.468085106382978,38.0,35.625
DC Delany,6,18.4,165,18,4,8,9.166666666666666,20.625,14.0
Aizaz Khan,56,264.5,1548,150,37,57,5.863636363636363,27.157894736842106,27.87719298245614
JS Kundi,2,1.1,15,0,0,0,15.0,15.0,7.0
Junaid Siddique (2),8,24.1,177,20,4,7,7.375,25.285714285714285,20.714285714285715
JJ Tucker,30,144.0,816,60,28,23,5.666666666666667,35.47826086956522,37.56521739130435
AS Abioye,8,31.3,145,10,2,13,4.67741935483871,11.153846153846153,14.538461538461538
D Ajekun,6,8.5,75,5,2,4,9.375,18.75,13.25
JO Adedeji,5,21.5,66,2,1,5,3.142857142857143,13.2,26.2
RR Patel,20,59.0,326,15,13,9,5.52542372881356,36.22222222222222,39.333333333333336
JOA Gordon,18,76.5,447,47,8,25,5.881578947368421,17.88,18.44
Imran Haider,14,74.1,385,28,11,19,5.202702702702703,20.263157894736842,23.42105263157895
D Gim,4,3.3,65,5,2,3,21.666666666666668,21.666666666666668,7.0
AAhan Achar,5,11.4,102,6,4,2,9.272727272727273,51.0,35.0
H Carlyon,3,11.5,86,7,2,3,7.818181818181818,28.666666666666668,23.666666666666668
Sulaimon Runsewe,3,7.2,42,3,1,2,6.0,21.0,22.0
NMS Param,5,22.4,122,10,2,6,5.545454545454546,20.333333333333332,22.666666666666668
NA Greenwood,2,1.1,14,1,0,1,14.0,14.0,7.0
Avi Dixit,1,0.2,10,2,0,0,5.0,10.0,2.0
